Gene name,Chromosome/scaffold name,Gene start (bp)
FAM155A-IT1,13,108440690
RNA5SP39,13,108953560
HCFC2P1,13,109132574
MYO16-AS2,13,109753609
LINC00545,13,31456688
MYO16-AS1,13,109816250
RP11-252M21.6,13,31547426
LINC00370,13,109934321
AF240627.2,21,19986749
LINC01066,13,31569299
LINC01067,13,109962483
LEPREL4,HG185_PATCH,39958199
MIR548X,21,20058408
WDR95P,13,31651391
LINC00399,13,110053043
AP001537.1,21,20076689
LINC00676,13,110380629
PPIAP22,21,20230097
ANKRD26P4,13,31885426
AL162497.1,13,110407168
RN7SKP10,13,110567443
LINC00396,13,110705632
AL157359.4,21,20290252
EEF1DP3,13,32420978
AL157359.3,21,20325582
RN7SL783P,13,110750200
snoU13,13,111066552
AP000431.1,21,20418629
COL4A2-AS2,13,111108743
LINC01073,13,32559822
AP000431.2,21,20502841
FRY-AS1,13,32599451
COL4A2-AS1,13,111154922
SLC6A6P1,21,20616860
RP11-37E23.5,13,32872291
AL139385.1,13,111291555
AP000855.4,21,20673930
IFIT1P1,13,32958797
RPL21P107,13,111415021
RNU1-139P,21,20717465
LINC00567,13,111462023
SNORA16,13,32994527
RPL37P4,21,20966155
RP11-298P3.4,13,32999495
ANKRD10-IT1,13,111547406
AP000403.3,21,20993009
AP000568.2,21,21112023
ATP8A2P2,13,33051411
PARP1P1,13,111589106
C1QBPP,21,21131673
AP000946.2,21,21265593
LINC00431,13,111635654
AP001171.1,21,21629065
LINC00368,13,111748185
RNU6-772P,21,21728060
RN7SKP147,21,21728965
ARHGEF7-AS2,13,111766159
RNY1P4,13,33337576
FDPSP6,21,21760646
LINC00423,13,33451569
ARHGEF7-IT1,13,111774999
KRT18P2,21,21797261
ARHGEF7-AS1,13,111796652
TOMM22P3,13,33528195
RPS3AP1,21,21802755
AL161898.1,13,33615489
RP11-65D24.1,13,112248356
STARD13-IT1,13,33732724
FKBP10,HG185_PATCH,39968962
LINC00354,13,112554299
LINC00320,21,22114908
AL136302.1,13,112563079
SNORD44,13,112706392
RP11-450H6.3,13,112737863
LINC00404,13,112760409
PPIAP1,21,22200445
LINC00403,13,112761433
AP001136.2,21,22595616
LINC01070,13,112851664
AP001137.1,21,22770068
AF241725.4,21,22939084
LINC01043,13,112967781
AF241725.1,21,23006773
LINC01044,13,112976881
AF241725.6,21,23027359
AL162711.1,13,113372159
ATP11A-AS1,13,113399763
LINC00317,21,23095613
AL356740.1,13,113539551
STARD13-AS,13,33845516
RP11-120K24.3,13,113619149
IGHV1OR15-9,15,20169919
MCF2L-AS1,13,113621798
RP11-120K24.4,13,113663092
AP000475.2,21,23119293
RP11-120K24.5,13,113663985
F10-AS1,13,113782469
KARSP2,13,113784730
IGHV3OR15-7,15,20192909
RP11-98F14.11,13,113819316
AP000472.3,21,23305635
LDHBP1,13,113930931
IGHD5OR15-5A,15,20209093
GRTP1-AS1,13,114005988
AP000472.2,21,23381263
DCUN1D2-AS,13,114123216
IGHD4OR15-4A,15,20210050
RNU1-16P,13,114133230
LINC00552,13,114451484
IGHD3OR15-3A,15,20211158
GAS6-AS1,13,114518603
IGHD2OR15-2A,15,20213655
GAS6-AS2,13,114567141
LINC00308,21,23470936
RP11-141M1.1,13,33907816
RP11-199F6.4,13,114580581
IGHD1OR15-1A,15,20216406
AL138999.1,13,33911020
RN7SL247P,18,21852889
NT5C3B,HG185_PATCH,39981433
AP000705.8,21,23507018
RP11-141M1.3,13,33929343
MIR320C2,18,21901650
LINC00454,13,114581673
RP11-621L6.2,18,21944751
RP11-621L6.3,18,21982117
RP11-37L2.1,13,34185104
RP11-179A7.2,13,34231573
Y_RNA,18,22009469
RP11-178F10.1,18,22015328
RNU5A-4P,13,34403676
AL161891.1,13,34486129
VDAC1P12,13,34656566
LINC00452,13,114586640
SNORA25,13,34674848
GOLGA6L6,15,20737094
RP11-16D22.2,13,34922180
LINC00457,13,35009587
AP000705.6,21,23526270
LINC00565,13,114629487
RP11-266E6.3,13,35120066
RNU4-45P,21,23577511
RASA3-IT1,13,114873044
AP000705.7,21,23582258
GAMTP2,13,35148341
MIR548AR,13,115009980
RP11-307O13.1,13,35499971
MAPK6PS2,21,23808610
MIR4502,13,115039303
SCAND3P1,13,35759431
CLCP2,13,115072121
PHBP13,13,35825207
LINC01054,13,115095034
AC012414.1,15,21004687
AL390071.1,13,36068551
LINC00445,13,36271661
RNU6-71P,13,36841305
IGHV1OR21-1,21,10862622
AL139377.1,13,36929928
HIST1H2APS6,13,37064215
AL136160.1,13,37302739
GAPDHP34,13,37314178
TCEAL4P1,13,37316015
ARL2BPP3,13,37363469
KLHL10,HG185_PATCH,39991937
POTEB2,15,21040701
NDE1P2,13,37378335
SMAD9-AS1,13,37423503
LAMTOR3P1,13,37496676
RPL29P28,13,37500575
EIF4A1P5,13,37512537
AL138706.1,13,37608814
RN7SKP1,13,37740489
RPS12P24,13,37794997
AP000959.2,21,23872924
LINC01048,13,38055604
RN7SL609P,21,24052992
RNA5SP26,13,38428989
AP000949.1,21,24254903
HSPD1P9,13,38567222
AP001255.2,21,24437813
KLHL11,HG185_PATCH,40009797
LINC00571,13,38624954
ZNF299P,21,24462350
LINC00437,13,39107480
MSANTD2P1,21,24473545
LINC00366,13,39150777
RNU2-55P,21,24654058
PRDX3P3,13,39191556
AP000459.4,21,24733426
RNU6-56P,13,39353561
AL590007.1,13,39364781
IGHD5OR15-5B,15,21215823
FREM2-AS1,13,39395935
PLA2G12AP2,13,39476524
IGHD4OR15-4B,15,21216780
ANKRD26P2,13,39496864
EEF1A1P1,21,24762579
IGHD3OR15-3B,15,21217888
NXT1P1,13,39743773
IGHD2OR15-2B,15,21220377
snoU13,13,40021252
AL512505.1,13,40226715
MIR4305,13,40238171
TUBAP,21,24779978
RNY4P14,13,40359552
CDKN2AIPNLP3,13,40391878
SECISBP2L,15,49280673
AZU1P1,13,40430847
SNORD116,13,40431272
IGHD1OR15-1B,15,21223129
LINC00332,13,40755946
RPL17P51,13,40798762
RNY3P9,13,40800964
DKFZP547L112,15,22011370
RP11-172E9.2,13,40918094
RN7SKP2,13,40981259
LINC00598,13,41025131
RLIMP1,13,41192875
MIR320D1,13,41301964
MIR621,13,41384902
TPTE2P5,13,41396432
POTEB,15,22051853
TPTE,21,10906201
ACLY,HG185_PATCH,40023160
CYCSP34,13,41437735
SUGT1P3,13,41482295
RGS17P1,13,41566915
MIR3168,13,41675155
Y_RNA,21,24804501
RN7SL597P,13,41696012
AP000459.7,21,24849960
CALM2P3,13,41744836
AP000474.1,21,25261114
snoU13,13,41754117
MORF4L1P4,13,41773968
AP000477.2,21,25333220
RAC1P3,13,41861877
AP000477.3,21,25415572
RP11-178F10.2,18,22069339
RNU6-57P,13,41928693
AP000470.2,21,25527484
RP11-178F10.3,18,22096847
TUBBP2,13,41958909
AP000469.2,21,25676863
RP11-178F10.4,18,22102237
OR7E36P,13,42005425
AP000476.1,21,25801054
RP11-449D8.1,18,22208146
OR7E155P,13,42013952
RP11-449D8.2,18,22253127
RAC1P1,18,22265736
OR7E37P,13,42016906
RP11-449D8.3,18,22269878
AL354833.1,13,42019427
RP11-449D8.5,18,22305745
AL354833.2,13,42020193
AL354833.3,13,42024148
MIR5006,13,42142422
RN7SL515P,13,42381813
RNU6-74P,13,42479254
RP11-958F21.1,18,22513451
KARSP1,13,42499734
WBP2P1,18,22596398
RPS28P8,13,42577566
RP11-187A9.3,13,42617863
RP11-958F21.3,18,22635564
MAPK6PS3,13,42643068
CTD-2006O16.2,18,22882090
AL139328.1,13,42747126
RN7SL97P,18,23398200
CHCHD2P11,13,42755601
RP11-737G21.1,18,23533180
FHP1,13,42830009
RPS24P18,18,23678803
TTC25,HG185_PATCH,40086887
FABP3P2,13,42943374
DHFRP1,18,23749724
LINC01050,13,43384502
LINC00428,13,43416550
NPM1P2,18,23784833
ZDHHC4P1,13,43507994
AL050302.1,21,14741931
FAM60BP,18,23835662
LINC00400,13,43732767
RPL36P19,13,43968661
RP11-25D3.1,18,23845973
ENOX1-AS2,13,44032601
U3,18,23879079
ENOX1-AS1,13,44118054
RP11-107K17.2,18,23928311
RP11-168P13.1,13,44361727
RNU6-1289P,18,23946265
RP11-107K17.1,18,24002959
POTED,21,14982498
AC090206.1,18,24166678
LINC00284,13,44482850
CIAPIN1P,18,24179372
CNP,HG185_PATCH,40122993
AL050303.1,21,15051621
AQP4-AS1,18,24235706
DGKZP1,13,44542560
LDLRAD4,18,13217497
LINC00390,13,44680514
SMIM2-AS1,13,44716682
U3,18,24267585
SMIM2-IT1,13,44720606
RP11-17A19.2,18,24268075
RP11-478K15.6,13,44808254
RP11-552O4.1,18,24402777
LINC01071,13,44974386
RP11-552O4.2,18,24411484
RP11-526I8.2,18,24532165
RP11-71C5.2,13,45011343
RP11-57J16.1,18,24805706
DNAJC7,HG185_PATCH,40132691
SMARCE1P5,13,45168994
LIPI,21,15481134
snoU13,13,45202705
LINC00407,13,45225948
LINC00330,13,45373639
RP11-321C24.1,13,45556212
RN7SL49P,13,45576285
RN7SKP3,13,45634864
7SK,13,45697228
RNU6-69P,13,45711997
RP11-290D2.5,13,45837825
AL138963.1,13,45874149
SNORA31,13,45910449
SNORA31,13,45911615
RP11-290D2.6,13,45914174
RBM11,21,15588451
OR4M2,15,22368478
AP000235.2,21,26212864
NKIRAS2,HG185_PATCH,40173272
OR4N4,15,22382382
TPT1-AS1,13,45915480
AP000402.3,21,26258990
AP000146.2,21,26310745
IGHV1OR15-1,15,22448382
AC010760.1,15,22456895
IGHV4OR15-8,15,22472918
AP001342.1,21,26403318
AP000235.3,21,26427848
HSPA13,21,15743436
ZNF385C,HG185_PATCH,40181828
RP11-290D2.3,13,45924458
RCN1P2,13,45964486
SLC25A30-AS1,13,45992297
PPIAP25,13,46010256
RNA5SP27,13,46125620
GOLGA6L1,15,22736246
TIMM9P3,13,46126998
COX4I1P2,13,46245980
LINC01055,13,46255225
7SK,21,26467335
AKR1B1P4,13,46261683
DHX58,HG185_PATCH,40257656
AP000233.3,21,26499782
CPB2-AS1,13,46626941
AP000233.4,21,26541745
RNA5SP489,21,26574521
RN7SL288P,13,46743594
snoU13,13,46809805
RN7SKP5,13,46824077
FAM206BP,13,46844212
LINC00563,13,46870580
RNU2-6P,13,46948536
RNU6-68P,13,46984589
COPS2,15,49398268
SAMSN1,21,15857549
PPP1R2P4,13,46917102
KAT2A,HG185_PATCH,40269360
AF165138.7,21,15964251
RP11-189B4.6,13,47029270
OR7E101P,13,47034744
COX17P1,13,47064997
HSPB9,HG185_PATCH,40277683
FKBP1AP3,13,47079253
HTR2A-AS1,13,47426278
GNG5P5,13,47881217
RN7SL700P,13,48033078
NAP1L4P3,13,48337595
RPL27AP8,13,48340775
RAB5C,HG185_PATCH,40281228
RP11-279N8.1,13,48399465
TUBGCP5,15,22833395
LINC00444,13,48479464
LINC00562,13,48504290
SUCLA2-AS1,13,48575525
5S_rRNA,HG185_PATCH,39874406
MED4-AS1,13,48651273
Metazoa_SRP,HG185_PATCH,39886381
Metazoa_SRP,HG185_PATCH,39993316
POLR2KP2,13,48708494
RP11-156E6.1,HG185_PATCH,40004770
LINC00441,13,48870649
RP11-739N10.1,18,24916343
PPP1R26P1,13,48890999
PCNPP5,13,48902220
LINC01077,13,49144775
NRIP1,21,16333556
LINC00462,13,49151110
RP11-26N15.2,18,24923216
AL137118.1,13,49326225
PSME2P2,13,49345264
UBA52P9,18,24935370
AL161421.1,13,49504256
RNU6-60P,13,49562051
RP11-612A1.1,18,24977916
RAD17P2,13,49618215
RBM22P1,18,24998848
RNY3P2,13,49669527
COX7CP1,13,49761615
PA2G4P3,18,25032478
OGFOD1P1,13,49784558
AC015933.2,18,25534483
SNRPGP14,13,50063106
RMDN3,15,41028082
ARIH2P1,18,26231696
RP11-432M24.4,13,50194450
PECAM1,HG183_PATCH,62399863
RP11-510D21.1,18,26365032
AL135901.1,13,50243040
RP11-510D21.2,18,26404616
RNY4P30,13,50463770
CTAGE10P,13,50464727
RNU6-408P,18,26628584
AC090349.1,18,26675539
RNY4P9,13,50482770
AC105245.1,18,26776406
AL136123.1,13,50526670
MIR3613,13,50570551
CTD-2515C13.1,18,26836782
RP11-625H11.1,15,62929371
CTD-2515C13.2,18,26858474
AC091321.1,18,27063293
RP11-784B15.1,18,27098224
RP11-675P14.1,18,28293241
RP11-25I11.1,18,28534786
RNU6-857P,18,28564072
RP11-408H20.1,18,28638806
DLEU2,13,50601269
snoU13,18,28652470
AP001340.1,21,26711319
RP11-408H20.2,18,28681551
RPL13AP7,21,26734135
RP11-408H20.3,18,28711419
LINC00158,21,26758133
RP11-534N16.1,18,28923331
snoU13,21,26842421
AP000221.1,21,26887785
MIR16-1,13,50623109
RNU6-167P,18,28925325
RPL18P10,13,50673467
MIR155HG,21,26934221
Y_RNA,18,28962280
RP11-650P15.1,18,29076608
ST13P4,13,50746225
LINC00515,21,26955082
RP11-75N4.2,18,29122109
RNGTTP1,21,27015801
RPL34P26,13,50935546
FDX1P2,21,27064492
MILR1,HG183_PATCH,62526397
RNU6-1002P,18,29249252
AL138696.1,13,50937284
AP000226.9,21,27135249
RP11-175B12.2,13,51095069
RP11-549B18.1,18,29265618
RN7SKP44,18,29298856
GCHFR,15,41056218
LRRC37A7P,18,29304161
AP001442.2,21,27306373
RP11-549B18.3,18,29306006
DLEU7-AS1,13,51381992
RNU6-123P,21,27315359
RP11-210K20.2,18,29424351
RNA5SP28,13,51387124
AP001439.2,21,27530409
RP11-210K20.3,18,29462583
RP11-210K20.4,18,29464821
AP000230.1,21,27543189
RNU6-1050P,18,29517496
RNASEH2B-AS1,13,51450822
RP11-326K13.4,18,29522538
RNU6-926P,21,27563026
PGDP1,18,29542141
AP001595.1,21,27722099
RP11-326K13.2,18,29546923
AP001596.6,21,27750871
RP11-53I6.2,18,29598792
AC009831.1,18,29640868
RP11-53I6.1,18,29655848
RP11-53I6.3,18,29671258
snoU13,18,29674467
POLG2,HG183_PATCH,62555145
RP11-53I6.4,18,29702363
RNA5SP453,18,29756013
RP11-53I6.5,18,29775989
RP11-344B2.3,18,29825909
Y_RNA,18,29843098
RP11-344B2.2,18,29867400
HNRNPA1P7,18,29991471
WBP11P1,18,30091626
DNAJC17,15,41060067
AC009835.1,18,30106105
FAM210A,18,13663346
RP11-386P4.1,18,30161491
GUCY1B2,13,51568647
USP25,21,17102344
AP001597.1,21,27765954
KB-1466C5.1,21,27832222
AP001601.2,21,28261695
MIR4759,21,28326280
GPX1P2,21,28515663
AP001604.3,21,28731204
AP001605.4,21,28733483
RNA5SP29,13,51601883
LINC00371,13,51656984
RPL5P31,13,51735859
SLMO2P2,13,51770017
DDX5,HG183_PATCH,62576980
MIR5693,13,51922703
RP11-24B19.4,13,51935701
RP11-24B19.3,13,51936795
ST8SIA5,18,44259081
INTS6-AS1,13,52026503
C21orf37,21,18811208
MIR4752,HSCHR19LRC_COX2_CTG1,54785613
U6,HSCHR19LRC_COX2_CTG1,55043099
RPS4XP16,13,52028300
RN7SL320P,13,52043886
SNRPGP11,13,52070156
MIR4703,13,52126725
CEP95,HG183_PATCH,62584096
RNU6-65P,13,52139548
RNY1P6,13,52160560
RN7SL413P,13,52168057
ATP5F1P1,13,52172552
RP11-327P2.5,13,52378433
CTAGE3P,13,52482354
FABP5P2,13,52540878
AC016489.1,HG183_PATCH,62385676
RP11-248G5.8,13,52741844
Y_RNA,HG183_PATCH,62467518
hsa-mir-1273e,HG183_PATCH,62502429
AC234063.1,HG183_PATCH,62539910
AC138744.2,HG183_PATCH,62568883
MIR3064,HG183_PATCH,62578133
CXADR,21,18884700
MIR5047,HG183_PATCH,62578574
AC009994.1,HG183_PATCH,62608135
MRPS31P5,13,52741844
RNMT,18,13726659
QSOX2,HG998_1_PATCH,139098179
PIAS2,18,44388353
TPTE2P2,13,52793479
GALK2,15,49447853
WI2-2610K16.1,HG998_1_PATCH,139173226
WI2-1959D15.1,HG998_1_PATCH,139141817
BTG3,21,18965971
EIF4A1P1,21,28739333
SUMO2P15,15,41052795
RPL10P1,21,28792699
NCSTNP1,21,28864437
AP001607.1,21,29011012
RP11-532F12.5,15,41128006
C15orf62,15,41062159
EPPIN-WFDC6,20,44165625
LINC00113,21,29094698
AC025166.1,15,41167511
DOCK3,HG186_PATCH,50712672
RP11-540O11.1,15,41199009
AJ006995.3,21,29327240
ISCA1P4,15,41240934
LINC00314,21,29385682
RP11-540O11.6,15,41291472
RP11-540O11.7,15,41303795
AL035610.1,21,29420733
RP11-540O11.4,15,41309005
MANF,HG186_PATCH,51422478
CYCSP2,15,41401076
WFDC8,20,44179792
TPM1,15,63334831
FAM92A1P1,15,41455360
RN7SL497P,15,41484165
RBM15B,HG186_PATCH,51428699
WFDC9,20,44236578
C21orf91,21,19161284
OIP5-AS1,15,41576188
MROH1,HG243_PATCH,145202919
RP11-57G22.1,18,30359002
RP11-746B8.1,18,30413417
RP11-680N20.1,18,30534039
RP11-258B16.1,18,31132087
Y_RNA,18,31581662
RP11-379L18.1,18,31802929
RP11-115P21.1,18,32153951
RP11-138H11.1,18,32317759
AC068506.1,18,32399910
RP11-158H5.7,18,32860831
ZNF271,18,32870246
RP11-322E11.1,18,32963318
RP11-322E11.5,18,33023833
RP11-712P20.2,18,33175865
RP11-873E20.1,18,33296334
CRTC3,15,91073157
NRBF2P1,18,33421723
MIR187,18,33484781
BOP1,HG243_PATCH,145317005
MIR3929,18,33514051
ZFYVE19,15,41099284
RP11-905K4.1,18,33531766
RP11-49I11.1,18,33759959
RP11-49I11.2,18,33853537
RP11-49I11.3,18,33858698
CSTF1,20,54967427
SNORD112,18,34222576
RP11-58G13.1,18,34481909
RP11-95O2.1,18,34814082
CHODL,21,19273580
VPRBP,HG186_PATCH,51433298
RP11-95O2.5,18,34823739
RP11-797E24.3,18,34853669
MIR4318,18,35237098
RP11-19F9.1,18,35252652
RP11-687D19.1,18,36235173
RN7SKP182,18,36596011
RNU6-706P,18,36613971
RP13-444H2.1,13,52908430
SCXA,HG243_PATCH,145321463
LINC00669,18,36786888
RNY4P24,13,52974139
LINC00345,13,53058296
WFDC10A,20,44258165
RPL7AP66,18,36914836
RP11-78J21.4,13,53063128
RP11-16O9.2,15,41635278
MIR5583-1,18,37256685
RNU6-1169P,15,41740940
CYFIP1,15,22892005
TCEB1P2,15,41849225
RNU6-1242P,18,37258484
RP11-636O21.1,18,37421138
WFDC11,20,44277202
TPTE2P3,13,53063128
RP11-380D11.2,15,41901664
RP11-653G8.2,18,37646250
MIR626,15,41983783
RPL17P45,18,37723890
RP11-107F6.4,15,42010568
RNU7-145P,18,38052785
RP11-107F6.3,15,42062954
RP11-23P13.4,15,42117297
WFDC10B,20,44313292
CT867977.1,GL000231.1,21878
RP11-142I20.1,18,39047395
TMPRSS15,21,19641433
RNA5SP393,15,42144111
MIR4310,15,42158693
RP11-114H24.6,15,78285747
RP11-23P13.6,15,42184991
WFDC13,20,44330655
MIR1827,15,78330873
SNORA63,15,78383514
RP11-188I24.1,18,39369127
RP11-23P13.7,15,42188137
AC011225.1,18,39399018
RP11-285A1.1,15,78433585
CTD-2382E5.4,15,42213615
SPINT4,20,44350990
RP11-115N12.1,18,39669276
CTD-2382E5.1,15,42264961
RP11-762H8.3,15,78542844
CTD-2382E5.2,15,42298330
RP11-762H8.4,15,78573292
RP11-762H8.2,15,78582869
HSF1,HG243_PATCH,145346494
RP11-762H8.1,15,78585628
RP11-5O23.1,15,78674915
RP11-650L12.1,15,78772399
RP11-650L12.2,15,78881465
LINC00907,18,39739247
RP11-335K5.2,15,78918237
RAD54L2,HG186_PATCH,51579011
IDH3B,20,2639041
MRPS31P4,13,53191693
RP11-160C18.2,15,78952986
KATNAL2,18,44497455
WFDC3,20,44376583
MIR759,13,53384179
PPIAP26,13,53394632
LINC01065,13,53720674
PCDH8P1,13,53774116
CASS4,20,54987168
RN7SL618P,13,53832212
AL450423.1,13,53941980
RPL18P11,15,78953389
LINC00558,13,54389554
RP11-160C18.4,15,79044449
LINC00458,13,54689924
RPL21P116,15,79155589
AL035610.2,21,29488413
RP11-168P6.2,13,54690611
RNU6-415P,15,79191182
MIR627,15,42491768
RP11-16K12.1,15,79271231
RPL13AP25,13,55014839
RP11-546B15.1,15,42500611
NCAM2,21,22370633
AC069082.1,15,79406635
AL512655.1,13,55380002
AF131217.1,21,29811667
RP11-546B15.2,15,42605885
MIR5007,13,55748589
HNF4GP1,13,56573334
SPATA2P1,13,56788507
LINC00161,21,29911640
snoU13,13,57133758
RP11-17L5.4,15,79484049
RN7SKP6,13,57459418
PRR20FP,13,57747587
RNU6-872P,21,30115530
MTCO2P3,13,57778513
HSPD1P7,21,30259602
PPP1R14D,15,41107650
SLC25A5P4,13,57888873
THUMPD1P1,21,30274101
RPL23P2,21,30369934
MIR184,15,79502130
RP11-164J13.1,15,42640301
RP1-100J12.1,21,30396576
HNRNPCP3,15,79528674
RPL31P53,13,57965305
AF129075.5,21,30430394
RNA5SP30,13,58565484
AC027811.1,15,79631072
LINC00374,13,58785831
RPL12P9,21,30500022
RP11-358L4.1,15,79705700
Y_RNA,21,30511604
