"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","BY","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"60",9421,NA,NA,NA,NA,NA,NA,NA,"20","5",61210386,16623004,16623095,61110386,61310386,16523004,16723095
"61",9613,NA,NA,NA,NA,NA,NA,NA,"3","X",49618494,13378735,13379340,49518494,49718494,13278735,13479340
"62",9709,NA,NA,NA,NA,NA,NA,NA,"2","15",168123059,100849561,100861756,168023059,168223059,100749561,100961756
"63",9757,NA,NA,NA,NA,NA,NA,NA,"22","14",21655373,101055419,101055491,21555373,21755373,100955419,101155491
"64",9808,NA,NA,NA,NA,NA,NA,NA,"16","3",30552022,90030284,90030495,30452022,30652022,89930284,90130495
"67",9943,NA,NA,NA,NA,NA,NA,NA,"2","21",29050375,14075950,14076038,28950375,29150375,13975950,14176038
"68",10052,NA,NA,NA,NA,NA,NA,NA,"15","4",71814880,64610616,64610909,71714880,71914880,64510616,64710909
"70",10387,NA,NA,NA,NA,NA,NA,NA,"10","18",41806709,6374361,6374425,41706709,41906709,6274361,6474425
"71",10475,NA,NA,NA,NA,NA,NA,NA,"9","11",122197252,103409580,103409657,122097252,122297252,103309580,103509657
"72",10682,NA,NA,NA,NA,NA,NA,NA,"11","21",103533620,45478266,45478326,103433620,103633620,45378266,45578326
"74",11054,NA,NA,NA,NA,NA,NA,NA,"14","X",38857200,52598494,52603289,38757200,38957200,52498494,52703289
"75",11089,NA,NA,NA,NA,NA,NA,NA,"2","14",26766030,37187219,37187314,26666030,26866030,37087219,37287314
"76",11146,NA,NA,NA,NA,NA,NA,NA,"16","8",30184593,7414855,7416863,30084593,30284593,7314855,7516863
"78",11243,NA,NA,NA,NA,NA,NA,NA,"12","19",57497081,19211958,19252233,57397081,57597081,19111958,19352233
"80",11370,NA,NA,NA,NA,NA,NA,NA,"1","10",51975760,82340771,82340876,51875760,52075760,82240771,82440876
"81",11387,NA,NA,NA,NA,NA,NA,NA,"X","14",104155813,101055419,101055491,104055813,104255813,100955419,101155491
"82",11394,NA,NA,NA,NA,NA,NA,NA,"X","19",103767741,16283359,16324514,103667741,103867741,16183359,16424514
