"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","BY","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"14",1853,NA,NA,NA,NA,NA,NA,NA,"1","6",235107572,81764024,81764156,235007572,235207572,81664024,81864156
"18",1941,NA,NA,NA,NA,NA,NA,NA,"13","7",30415655,143026158,143027195,30315655,30515655,142926158,143127195
"20",2079,NA,NA,NA,NA,NA,NA,NA,"16","9",68644843,122519141,122520082,68544843,68744843,122419141,122620082
"24",2197,NA,NA,NA,NA,NA,NA,NA,"19","3",6963203,89107621,89482134,6863203,7063203,89007621,89582134
"29",2422,NA,NA,NA,NA,NA,NA,NA,"13","8",110165755,10474565,10482388,110065755,110265755,10374565,10582388
"30",2518,NA,NA,NA,NA,NA,NA,NA,"1","1",146228066,148531385,148679742,146128066,146328066,148431385,148779742
"31",2555,NA,NA,NA,NA,NA,NA,NA,"1","3",177497125,57512450,57512555,177397125,177597125,57412450,57612555
"34",2734,NA,NA,NA,NA,NA,NA,NA,"6","17",137531895,18340814,18340886,137431895,137631895,18240814,18440886
"37",2834,NA,NA,NA,NA,NA,NA,NA,"19","18",17790057,49815,73545,17690057,17890057,-50185,173545
"38",2872,NA,NA,NA,NA,NA,NA,NA,"1","11",41391586,90017611,90024511,41291586,41491586,89917611,90124511
