"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","Hochberg","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"55",8198,NA,NA,NA,NA,NA,NA,NA,"20","2",3333859,130313934,130314411,3233859,3433859,130213934,130414411
"56",8212,NA,NA,NA,NA,NA,NA,NA,"19","11",7894384,73950319,73970366,7794384,7994384,73850319,74070366
"57",8280,NA,NA,NA,NA,NA,NA,NA,"6","X",30744028,52770809,52771080,30644028,30844028,52670809,52871080
"58",8453,NA,NA,NA,NA,NA,NA,NA,"2","9",19751741,96887373,97013708,19651741,19851741,96787373,97113708
"59",8510,NA,NA,NA,NA,NA,NA,NA,"6","12",11356011,110372900,110403730,11256011,11456011,110272900,110503730
"60",8581,NA,NA,NA,NA,NA,NA,NA,"17","6",38923170,76092834,76092940,38823170,39023170,75992834,76192940
"61",8612,NA,NA,NA,NA,NA,NA,NA,"3","8",186203929,27011121,27012371,186103929,186303929,26911121,27112371
"63",8685,NA,NA,NA,NA,NA,NA,NA,"1","19",158827115,43766533,43781257,158727115,158927115,43666533,43881257
"64",8810,NA,NA,NA,NA,NA,NA,NA,"4","2",152685568,166180652,166180966,152585568,152785568,166080652,166280966
"65",8828,NA,NA,NA,NA,NA,NA,NA,"19","7",48550243,138645671,138646448,48450243,48650243,138545671,138746448
"66",9024,NA,NA,NA,NA,NA,NA,NA,"7","4",148698298,116839279,116839385,148598298,148798298,116739279,116939385
"67",9175,NA,NA,NA,NA,NA,NA,NA,"19","10",12140168,45164228,45181427,12040168,12240168,45064228,45281427
"68",9185,NA,NA,NA,NA,NA,NA,NA,"3","7",57619818,19705358,19705436,57519818,57719818,19605358,19805436
"70",9214,NA,NA,NA,NA,NA,NA,NA,"11","3",12189876,190680421,190699314,12089876,12289876,190580421,190799314
"71",9262,NA,NA,NA,NA,NA,NA,NA,"1","10",55004480,36626015,36626138,54904480,55104480,36526015,36726138
"72",9349,NA,NA,NA,NA,NA,NA,NA,"X","11",100516775,40444371,40513269,100416775,100616775,40344371,40613269
"74",9497,NA,NA,NA,NA,NA,NA,NA,"6","5",143908252,17345616,17345955,143808252,144008252,17245616,17445955
"75",9540,NA,NA,NA,NA,NA,NA,NA,"12","20",79784781,3361880,3362324,79684781,79884781,3261880,3462324
"77",9594,NA,NA,NA,NA,NA,NA,NA,"11","21",119022077,32790673,32813743,118922077,119122077,32690673,32913743
"79",9779,NA,NA,NA,NA,NA,NA,NA,"7","X",112168339,116748530,116748877,112068339,112268339,116648530,116848877
"80",9846,NA,NA,NA,NA,NA,NA,NA,"12","8",46892774,27433370,27433434,46792774,46992774,27333370,27533434
"81",9848,NA,NA,NA,NA,NA,NA,NA,"4","19",51884244,56643159,56657247,51784244,51984244,56543159,56757247
"83",9920,NA,NA,NA,NA,NA,NA,NA,"1","7",119649808,76043977,76045963,119549808,119749808,75943977,76145963
"84",9928,NA,NA,NA,NA,NA,NA,NA,"X","12",41481809,93266017,93266096,41381809,41581809,93166017,93366096
"85",9995,NA,NA,NA,NA,NA,NA,NA,"11","13",32105392,45390353,45391267,32005392,32205392,45290353,45491267
"86",10062,NA,NA,NA,NA,NA,NA,NA,"X","X",134839107,32754940,32756400,134739107,134939107,32654940,32856400
"87",10066,NA,NA,NA,NA,NA,NA,NA,"1","2",218924074,54166944,54167007,218824074,219024074,54066944,54267007
"89",10127,NA,NA,NA,NA,NA,NA,NA,"17","21",27802186,19759359,19760128,27702186,27902186,19659359,19860128
