"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","Reject","Holm_Bon_Thresh","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"25",7280,NA,NA,NA,NA,NA,0.00125,"13","6",41588099,122789049,122809720,41488099,41688099,122689049,122909720
"27",7390,NA,NA,NA,NA,NA,0.00128205128205128,"19","1",18540306,629062,629433,18440306,18640306,529062,729433
"28",7393,NA,NA,NA,NA,NA,0.00131578947368421,"2","12",55706333,91193709,91193942,55606333,55806333,91093709,91293942
"32",7811,NA,NA,NA,NA,NA,0.00135135135135135,"14","7",106034544,153968665,153968826,105934544,106134544,153868665,154068826
"33",7901,NA,NA,NA,NA,NA,0.00138888888888889,"11","17",61764519,79848058,79850110,61664519,61864519,79748058,79950110
"36",7982,NA,NA,NA,NA,NA,0.00142857142857143,"16","7",68808992,118184144,118204035,68708992,68908992,118084144,118304035
"37",8147,NA,NA,NA,NA,NA,0.00147058823529412,"1","14",31687604,100981975,100982046,31587604,31787604,100881975,101082046
"38",8200,NA,NA,NA,NA,NA,0.00151515151515152,"13","12",88405849,116782105,116782208,88305849,88505849,116682105,116882208
"39",8203,NA,NA,NA,NA,NA,0.0015625,"X","2",54769923,176150303,176150412,54669923,54869923,176050303,176250412
"40",8208,NA,NA,NA,NA,NA,0.00161290322580645,"8","1",119106378,629062,629433,119006378,119206378,529062,729433
"41",8237,NA,NA,NA,NA,NA,0.00166666666666667,"17","1",8091865,629062,629433,7991865,8191865,529062,729433
"43",8313,NA,NA,NA,NA,NA,0.00172413793103448,"10","19",60797819,49642209,49658642,60697819,60897819,49542209,49758642
"44",8342,NA,NA,NA,NA,NA,0.00178571428571429,"2","12",230904022,95438737,95438843,230804022,231004022,95338737,95538843
"45",8575,NA,NA,NA,NA,NA,0.00185185185185185,"4","1",151806700,629062,629433,151706700,151906700,529062,729433
"46",8678,NA,NA,NA,NA,NA,0.00192307692307692,"19","11",7609948,109422190,109429167,7509948,7709948,109322190,109529167
"47",8805,NA,NA,NA,NA,NA,0.002,"17","X",9210787,147225826,147225952,9110787,9310787,147125826,147325952
"49",8923,NA,NA,NA,NA,NA,0.00208333333333333,"6","15",158532886,78264086,78282196,158432886,158632886,78164086,78382196
"51",8988,NA,NA,NA,NA,NA,0.00217391304347826,"9","X",136929218,154401236,154412112,136829218,137029218,154301236,154512112
"52",9022,NA,NA,NA,NA,NA,0.00227272727272727,"15","Y",84700450,24209567,24215581,84600450,84800450,24109567,24315581
"54",9165,NA,NA,NA,NA,NA,0.00238095238095238,"16","12",81162073,96422326,96485442,81062073,81262073,96322326,96585442
"56",9252,NA,NA,NA,NA,NA,0.0025,"6","16",132750830,82170296,82175803,132650830,132850830,82070296,82275803
"57",9277,NA,NA,NA,NA,NA,0.00263157894736842,"8","7",78527490,125345825,125346197,78427490,78627490,125245825,125446197
"58",9287,NA,NA,NA,NA,NA,0.00277777777777778,"22","2",26088462,25160853,25168903,25988462,26188462,25060853,25268903
"60",9421,NA,NA,NA,NA,NA,0.00294117647058824,"20","5",61210386,16623004,16623095,61110386,61310386,16523004,16723095
"61",9613,NA,NA,NA,NA,NA,0.003125,"3","X",49618494,13378735,13379340,49518494,49718494,13278735,13479340
"62",9709,NA,NA,NA,NA,NA,0.00333333333333333,"2","15",168123059,100849561,100861756,168023059,168223059,100749561,100961756
"63",9757,NA,NA,NA,NA,NA,0.00357142857142857,"22","14",21655373,101055419,101055491,21555373,21755373,100955419,101155491
"64",9808,NA,NA,NA,NA,NA,0.00384615384615385,"16","3",30552022,90030284,90030495,30452022,30652022,89930284,90130495
"67",9943,NA,NA,NA,NA,NA,0.00416666666666667,"2","21",29050375,14075950,14076038,28950375,29150375,13975950,14176038
"68",10052,NA,NA,NA,NA,NA,0.00454545454545455,"15","4",71814880,64610616,64610909,71714880,71914880,64510616,64710909
"70",10387,NA,NA,NA,NA,NA,0.005,"10","18",41806709,6374361,6374425,41706709,41906709,6274361,6474425
"71",10475,NA,NA,NA,NA,NA,0.00555555555555556,"9","11",122197252,103409580,103409657,122097252,122297252,103309580,103509657
"72",10682,NA,NA,NA,NA,NA,0.00625,"11","21",103533620,45478266,45478326,103433620,103633620,45378266,45578326
"74",11054,NA,NA,NA,NA,NA,0.00714285714285714,"14","X",38857200,52598494,52603289,38757200,38957200,52498494,52703289
"75",11089,NA,NA,NA,NA,NA,0.00833333333333333,"2","14",26766030,37187219,37187314,26666030,26866030,37087219,37287314
"76",11146,NA,NA,NA,NA,NA,0.01,"16","8",30184593,7414855,7416863,30084593,30284593,7314855,7516863
"78",11243,NA,NA,NA,NA,NA,0.0125,"12","19",57497081,19211958,19252233,57397081,57597081,19111958,19352233
"80",11370,NA,NA,NA,NA,NA,0.0166666666666667,"1","10",51975760,82340771,82340876,51875760,52075760,82240771,82440876
"81",11387,NA,NA,NA,NA,NA,0.025,"X","14",104155813,101055419,101055491,104055813,104255813,100955419,101155491
"82",11394,NA,NA,NA,NA,NA,0.05,"X","19",103767741,16283359,16324514,103667741,103867741,16183359,16424514
