"","trio.idx","obs.reads","expected","total_NA's","P(>obs)","HB.Adjusted","qvals","cis.chr","trans.chr","variant.pos","trans.left","trans.right","variant.lower.bound","variant.upper.bound","trans.lower.bound","trans.upper.bound"
"71",9620,11,6.42061755409677,1774,0.12411864818867,1,0.550920542635659,"8","16",133202869,55389700,55506691,133102869,133302869,55289700,55606691
"68",9332,9,5.35404642023824,1857,0.132260837529166,1,0.550920542635659,"7","5",105645992,71445616,71446569,105545992,105745992,71345616,71546569
"11",4693,10,5.97663652024117,712,0.132751937984496,1,0.550920542635659,"6","10",39929678,15102584,15168693,39829678,40029678,15002584,15268693
"73",9634,11,6.78890728476821,336,0.141038907284768,1,0.557439490696941,"12","14",3395334,22526844,22526906,3295334,3495334,22426844,22626906
"42",7425,365,668.116205774705,164,0.154127694184628,1,0.581481755332914,"22","22",21335586,18533646,18577968,21235586,21435586,18433646,18677968
"53",8120,157,192.822958011281,426,0.175684144558178,1,0.603669483155931,"7","7",2343874,43150895,43150994,2243874,2443874,43050895,43250994
"96",11364,5,3.02677998717126,3764,0.181526619627967,1,0.603669483155931,"X","9",54298367,35732922,35732995,54198367,54398367,35632922,35832995
"83",10706,11,7.39953911993855,887,0.181828157577088,1,0.603669483155931,"14","13",104848641,25944478,25944766,104748641,104948641,25844478,26044766
"48",7942,21,14.1934054054054,750,0.199567567567568,1,0.627665809408842,"19","22",50592029,41045497,41045591,50492029,50692029,40945497,41145591
"15",5008,9,6.1769012753897,1532,0.204180444024563,1,0.627665809408842,"1","22",59327620,22409766,22410282,59227620,59427620,22309766,22510282
"36",7243,10,6.95920679886686,4705,0.213975448536355,1,0.632401602229188,"16","10",86387664,92689955,92695647,86287664,86487664,92589955,92795647
"34",7170,8,5.57920110192837,1288,0.220959595959596,1,0.632401602229188,"1","4",156201443,48109353,48109410,156101443,156301443,48009353,48209410
"51",8034,15,10.8728469555677,885,0.233022490400439,1,0.636601141581436,"17","20",28687610,2655067,2655198,28587610,28787610,2555067,2755198
"40",7389,10,7.25655450589109,579,0.23776669143403,1,0.636601141581436,"12","15",108865590,44825747,44884694,108765590,108965590,44725747,44984694
"92",11176,8,6.05129039253958,778,0.276187378009109,1,0.681741712023751,"4","20",124976858,57321502,57321591,124876858,125076858,57221502,57421591
"30",6859,92,184.31872674659,324,0.289272426622571,1,0.681741712023751,"6","6",142528005,156493226,156505011,142428005,142628005,156393226,156605011
"74",9637,8,6.34724486468862,799,0.305184219106619,1,0.681741712023751,"2","17",111623466,44307088,44307172,111523466,111723466,44207088,44407172
"13",4739,9,7.51121281464531,7815,0.31304347826087,1,0.681741712023751,"19","1",12365366,40754355,40754446,12265366,12465366,40654355,40854446
"33",7157,7,5.66486332574032,6488,0.32004555808656,1,0.681741712023751,"14","1",24851967,162157107,162157182,24751967,24951967,162057107,162257182
"12",4733,9,7.34262862083874,748,0.324470384781669,1,0.681741712023751,"8","17",28378538,36183235,36196471,28278538,28478538,36083235,36296471
"80",10615,7,5.72547056467761,5006,0.332999599519423,1,0.681741712023751,"11","2",63977137,131464900,131492743,63877137,64077137,131364900,131592743
"62",8946,50,142.703585852405,1829,0.334353200342675,1,0.681741712023751,"1","1",15428752,112466541,112530165,15328752,15528752,112366541,112630165
"60",8784,13,10.9409511650176,601,0.3368443451431,1,0.681741712023751,"15","22",49314101,37019635,37029822,49214101,49414101,36919635,37129822
"32",7155,7,5.80287253141831,1645,0.340873728306403,1,0.681741712023751,"3","16",95632297,23441841,23441921,95532297,95732297,23341841,23541921
"28",6823,10,8.55481874447392,952,0.352674624226348,1,0.681741712023751,"15","14",101494716,100989130,100989201,101394716,101594716,100889130,101089201
"55",8367,8,6.85088652482269,4360,0.353191489361702,1,0.681741712023751,"15","12",85095349,114238970,114241770,84995349,85195349,114138970,114341770
"50",8033,7,6.20917744691238,5903,0.400781059311692,1,0.751010184077988,"14","9",96304793,14593577,14594200,96204793,96404793,14493577,14694200
"65",9160,6,5.35929331170002,4453,0.417162430142419,1,0.751010184077988,"8","2",68053893,53486144,53486280,67953893,68153893,53386144,53586280
"89",11037,3,2.54750204750205,7558,0.419328419328419,1,0.751010184077988,"7","Y",97922021,18582063,18629077,97822021,98022021,18482063,18729077
"88",10996,7,6.50481341265549,755,0.432666306111412,1,0.751010184077988,"11","18",62882780,58189834,58195696,62782780,62982780,58089834,58295696
"2",476,8,7.53298459750073,6559,0.44173205463528,1,0.751010184077988,"17","9",7304645,2875442,2876427,7204645,7404645,2775442,2976427
"75",9672,7,7.01677194511,818,0.443367458070137,1,0.751010184077988,"5","19",65164206,52222020,52222098,65064206,65264206,52122020,52322098
"93",11207,7,6.81693055986754,337,0.455345130911725,1,0.755872917313464,"12","14",56370958,104677694,104677749,56270958,56470958,104577694,104777749
"49",8000,6,9.90692435380602,1566,0.487313255869101,1,0.783402241323033,"1","19",16483831,22128627,22130318,16383831,16583831,22028627,22230318
"16",5326,6,5.95065220807795,3637,0.490806223479491,1,0.783402241323033,"11","3",14374939,150546678,150586016,14274939,14474939,150446678,150686016
"7",3936,11,12.2089744969332,707,0.519853653287421,1,0.809087088578578,"17","22",62559465,25564675,25729294,62459465,62659465,25464675,25829294
"79",10449,6,6.44766122933996,743,0.527384681862374,1,0.809087088578578,"12","10",34411565,19747172,19747435,34311565,34511565,19647172,19847435
"94",11248,50,232.75173355747,482,0.536142046648456,1,0.809087088578578,"11","11",63827899,14478892,14478953,63727899,63927899,14378892,14578953
"76",9701,5,5.97230728265211,2489,0.580348821728132,1,0.831244121796379,"1","16",21500037,75218988,75226338,21400037,21600037,75118988,75326338
"59",8676,5,5.5509697789806,5566,0.590888588182228,1,0.831244121796379,"14","4",24146226,159007119,159007835,24046226,24246226,158907119,159107835
"72",9622,7,8.60894870862132,7251,0.602764641687886,1,0.831244121796379,"19","9",44489082,98890590,98891937,44389082,44589082,98790590,98991937
"1",452,5,6.24913793103448,7680,0.60948275862069,1,0.831244121796379,"19","2",8322323,231256097,231256306,8222323,8422323,231156097,231356306
"85",10728,3,3.55590866290019,1504,0.611464218455744,1,0.831244121796379,"17","X",49892713,95973328,95974315,49792713,49992713,95873328,96074315
"22",6510,5,6.25919552591955,5351,0.615616261561626,1,0.831244121796379,"11","1",61488005,37264677,37264786,61388005,61588005,37164677,37364786
"46",7887,5,6.11648186026483,711,0.629023576273011,1,0.831244121796379,"5","15",134039664,25209918,25209999,133939664,134139664,25109918,25309999
"54",8226,9,11.9136073862387,902,0.63200703451308,1,0.831244121796379,"19","20",34518874,43451159,43451260,34418874,34618874,43351159,43551260
"23",6622,5,6.72090289207618,1494,0.640959322830943,1,0.831244121796379,"1","17",33430396,36234447,36234554,33330396,33530396,36134447,36334554
"25",6654,4,5.19752761704366,2396,0.688979484481852,1,0.874666880338076,"3","2",123478230,6840570,6866635,123378230,123578230,6740570,6966635
"82",10691,4,5.23532602799175,783,0.699685364001302,1,0.874666880338076,"4","3",147385639,59535863,59536415,147285639,147485639,59435863,59636415
"44",7628,4,5.44819915254237,560,0.719703389830509,1,0.874666880338076,"3","5",161234486,38345347,38346551,161134486,161334486,38245347,38446551
"58",8550,4,5.80166821130677,2447,0.723023963987819,1,0.874666880338076,"2","9",15017957,35732922,35732995,14917957,15117957,35632922,35832995
"39",7350,4,6.12371794871795,6880,0.739102564102564,1,0.874666880338076,"15","1",22419377,215630026,215630117,22319377,22519377,215530026,215730117
"70",9582,4,5.81907383032189,1643,0.743209285628814,1,0.874666880338076,"3","16",52505834,16300159,16300242,52405834,52605834,16200159,16400242
"47",7896,4,5.85450906026127,508,0.748209018120523,1,0.874666880338076,"7","14",6872931,22477707,22477769,6772931,6972931,22377707,22577769
"86",10749,5,7.39146991622239,809,0.773800456968774,1,0.892019971227892,"14","13",64316058,40727828,40727875,64216058,64416058,40627828,40827875
"9",4396,3,6.03760593220339,2448,0.838718220338983,1,0.926485130277307,"1","16",14677,90102271,90178344,-85323,114677,90002271,90278344
"84",10707,3,5.81072555205047,3977,0.848580441640379,1,0.926485130277307,"5","1",76819034,231670635,231670750,76719034,76919034,231570635,231770750
"10",4545,3,5.57366136034732,6545,0.854124457308249,1,0.926485130277307,"14","1",98553647,16870945,16883659,98453647,98653647,16770945,16983659
"31",6921,4,8.09118695873663,6074,0.857106469689251,1,0.926485130277307,"17","4",38438841,154724586,154724880,38338841,38538841,154624586,154824880
"18",5976,3,5.80606151089878,3302,0.859510301582562,1,0.926485130277307,"3","1",186980088,37264677,37264786,186880088,187080088,37164677,37364786
"4",1636,15,327.820633059789,2323,0.875732708089097,1,0.931869420146091,"16","16",16214818,18374521,18401940,16114818,16314818,18274521,18501940
"38",7287,3,7.95142439737034,1786,0.90345751156562,1,0.949202195695525,"15","16",97963813,28599241,28601881,97863813,98063813,28499241,28701881
"57",8535,1,5.85975004959333,4959,1,1,1,"7","1",27150779,629062,629433,27050779,27250779,529062,729433
"87",10835,1,6.82487539646579,5586,1,1,1,"16","6",29462318,11644067,11644343,29362318,29562318,11544067,11744343
"91",11155,1,5.37654778283416,551,1,1,1,"2","3",197273878,87594838,87595376,197173878,197373878,87494838,87695376
"95",11315,1,2.88273495895111,1839,1,1,1,"X","7",135664548,63388808,63393657,135564548,135764548,63288808,63493657
"3",1463,NA,NA,NA,NA,NA,NA,"22","17",50781891,83226897,83240804,50681891,50881891,83126897,83340804
"14",4741,NA,NA,NA,NA,NA,NA,"21","21",43159738,6484623,6499261,43059738,43259738,6384623,6599261
"17",5548,NA,NA,NA,NA,NA,NA,"1","15",158932554,85754941,85756237,158832554,159032554,85654941,85856237
"20",6191,NA,NA,NA,NA,NA,NA,"15","Y",84533668,24209567,24215581,84433668,84633668,24109567,24315581
"26",6663,NA,NA,NA,NA,NA,NA,"X","12",47356438,67571197,67589987,47256438,47456438,67471197,67689987
"29",6853,NA,NA,NA,NA,NA,NA,"17","1",82037590,203115468,203128367,81937590,82137590,203015468,203228367
"35",7183,NA,NA,NA,NA,NA,NA,"10","13",83923649,18921888,18944284,83823649,84023649,18821888,19044284
"41",7400,NA,NA,NA,NA,NA,NA,"12","21",109843248,8603547,8603984,109743248,109943248,8503547,8703984
"43",7448,NA,NA,NA,NA,NA,NA,"12","9",124219346,40130921,40153147,124119346,124319346,40030921,40253147
"56",8475,NA,NA,NA,NA,NA,NA,"5","Y",169589018,25307729,25307803,169489018,169689018,25207729,25407803
"63",8970,NA,NA,NA,NA,NA,NA,"X","16",153204355,33771035,33771248,153104355,153304355,33671035,33871248
"78",9932,NA,NA,NA,NA,NA,NA,"11","9",67095897,67211663,67213067,66995897,67195897,67111663,67313067
"81",10631,NA,NA,NA,NA,NA,NA,"1","15",666398,24908932,24909825,566398,766398,24808932,25009825
